Unnamed: 0,train,val,test
0,10015,NLSI0000241,10850
1,10021,NLSI0000224,11275
2,10024,NLSI0000161,NLSI0000526
3,10037,NLSI0000100,11007
4,10110,11042,10521
5,10120,11413,10134
6,10121,10494,NLSI0000248
7,10125,11112,9684
8,10126,10876,9738
9,10127,10903,9745
10,10130,9682,10938
11,10131,NLSI0000054,9460
12,10133,9967,10837
13,10135,9532,11194
14,10160,NLSI0000076,11457
15,10161,NLSI0000259,11219
16,10162,NLSI0000131,NLSI0000004
17,10168,9527,11306
18,10183,10889,11265
19,10184,NLSI0000125,11347
20,10352,11261,10676
21,10367,11788,10122
22,10368,9747,11404
23,10372,11464,10509
24,10374,11006,10382
25,10378,11446,10990
26,10379,11348,NLSI0000104
27,10380,9542,10384
28,10381,11304,11462
29,10383,10993,11038
30,10391,NLSI0000260,NLSI0000277
31,10392,10132,NLSI0000133
32,10393,11428,11020
33,10400,10136,10443
34,10401,NLSI0000217,9531
35,10402,NLSI0000293,11274
36,10403,11297,11436
37,10404,9757,10653
38,10411,NLSI0000127,10619
39,10412,11118,NLSI0000265
40,10417,11022,11363
41,10418,NLSI0000113,9486
42,10419,10503,NLSI0000034
43,10420,11031,NLSI0000099
44,10460,NLSI0000112,9707
45,10461,NLSI0000118,NLSI0000111
46,10484,10670,10111
47,10485,9755,NLSI0000092
48,10486,11269,9488
49,10489,10166,11445
50,10490,11401,10373
51,10491,NLSI0000105,9551
52,10493,NLSI0000156,10046
53,10495,NLSI0000292,10492
54,10497,9388,11249
55,10498,9659,11013
56,10499,11341,10845
57,10500,NLSI0000296,11243
58,10501,NLSI0000204,10482
59,10504,9679,9686
60,10508,NLSI0000209,10518
61,10510,NLSI0000042,NLSI0000109
62,10513,11780,9534
63,10514,11339,11397
64,10526,9660,NLSI0000297
65,10530,11283,10700
66,10542,9735,11407
67,10618,9680,11117
68,10636,NLSI0000108,11223
69,10654,11318,10936
70,10669,11256,9986
71,10672,10113,11425
72,10673,11393,NLSI0000147
73,10674,10152,9500
74,10675,9703,NLSI0000110
75,10678,10483,NLSI0000192
76,10840,11226,9675
77,10851,11412,9688
78,10856,NLSI0000279,11424
79,10857,9687,11467
80,10858,11132,9971
81,10859,10112,9734
82,10860,10376,9499
83,10862,NLSI0000194,11465
84,10863,NLSI0000149,10117
85,10864,9742,NLSI0000049
86,10872,NLSI0000288,11411
87,10873,,
88,10874,,
89,10877,,
90,10878,,
91,10879,,
92,10886,,
93,10887,,
94,10901,,
95,10902,,
96,10904,,
97,10905,,
98,10934,,
99,10937,,
100,10939,,
101,10940,,
102,10987,,
103,10988,,
104,10989,,
105,10991,,
106,10992,,
107,10994,,
108,10995,,
109,10996,,
110,11001,,
111,11002,,
112,11003,,
113,11004,,
114,11005,,
115,11008,,
116,11009,,
117,11010,,
118,11011,,
119,11012,,
120,11021,,
121,11026,,
122,11029,,
123,11030,,
124,11032,,
125,11033,,
126,11034,,
127,11036,,
128,11037,,
129,11043,,
130,11044,,
131,11053,,
132,11104,,
133,11105,,
134,11106,,
135,11107,,
136,11113,,
137,11119,,
138,11120,,
139,11124,,
140,11125,,
141,11126,,
142,11185,,
143,11186,,
144,11187,,
145,11188,,
146,11189,,
147,11190,,
148,11191,,
149,11192,,
150,11193,,
151,11215,,
152,11216,,
153,11217,,
154,11218,,
155,11229,,
156,11233,,
157,11234,,
158,11235,,
159,11236,,
160,11237,,
161,11238,,
162,11239,,
163,11240,,
164,11247,,
165,11248,,
166,11250,,
167,11251,,
168,11252,,
169,11259,,
170,11260,,
171,11262,,
172,11263,,
173,11264,,
174,11266,,
175,11270,,
176,11271,,
177,11272,,
178,11273,,
179,11279,,
180,11280,,
181,11281,,
182,11285,,
183,11286,,
184,11287,,
185,11295,,
186,11296,,
187,11299,,
188,11301,,
189,11303,,
190,11305,,
191,11321,,
192,11322,,
193,11333,,
194,11334,,
195,11335,,
196,11336,,
197,11337,,
198,11338,,
199,11342,,
200,11343,,
201,11344,,
202,11345,,
203,11346,,
204,11349,,
205,11350,,
206,11351,,
207,11352,,
208,11353,,
209,11357,,
210,11358,,
211,11359,,
212,11360,,
213,11361,,
214,11362,,
215,11364,,
216,11365,,
217,11366,,
218,11367,,
219,11368,,
220,11369,,
221,11381,,
222,11382,,
223,11383,,
224,11398,,
225,11399,,
226,11400,,
227,11402,,
228,11403,,
229,11405,,
230,11409,,
231,11426,,
232,11427,,
233,11429,,
234,11430,,
235,11431,,
236,11432,,
237,11433,,
238,11434,,
239,11435,,
240,11437,,
241,11447,,
242,11454,,
243,11455,,
244,11456,,
245,11460,,
246,11461,,
247,11463,,
248,11471,,
249,11472,,
250,11785,,
251,11786,,
252,11787,,
253,11789,,
254,9387,,
255,9389,,
256,9390,,
257,9400,,
258,9401,,
259,9402,,
260,9406,,
261,9407,,
262,9408,,
263,9459,,
264,9461,,
265,9462,,
266,9463,,
267,9464,,
268,9465,,
269,9466,,
270,9467,,
271,9468,,
272,9469,,
273,9473,,
274,9474,,
275,9475,,
276,9480,,
277,9481,,
278,9482,,
279,9483,,
280,9484,,
281,9485,,
282,9487,,
283,9495,,
284,9496,,
285,9497,,
286,9528,,
287,9529,,
288,9530,,
289,9543,,
290,9544,,
291,9546,,
292,9547,,
293,9548,,
294,9549,,
295,9550,,
296,9664,,
297,9665,,
298,9681,,
299,9683,,
300,9700,,
301,9701,,
302,9702,,
303,9706,,
304,9722,,
305,9723,,
306,9736,,
307,9737,,
308,9739,,
309,9740,,
310,9741,,
311,9746,,
312,9756,,
313,9776,,
314,9777,,
315,9778,,
316,9808,,
317,9953,,
318,9965,,
319,9966,,
320,9973,,
321,9974,,
322,9975,,
323,9976,,
324,9987,,
325,9988,,
326,9989,,
327,9990,,
328,9993,,
329,NLSI0000005,,
330,NLSI0000006,,
331,NLSI0000023,,
332,10016,,
333,10019,,
334,10029,,
335,10030,,
336,10114,,
337,10115,,
338,10116,,
339,10118,,
340,10119,,
341,10137,,
342,10138,,
343,10139,,
344,10144,,
345,10145,,
346,10146,,
347,10150,,
348,10153,,
349,10177,,
350,10364,,
351,10365,,
352,10370,,
353,10375,,
354,10377,,
355,10385,,
356,10386,,
357,10387,,
358,10388,,
359,10389,,
360,10390,,
361,10408,,
362,10409,,
363,10410,,
364,10414,,
365,10415,,
366,10416,,
367,10422,,
368,10424,,
369,10458,,
370,10481,,
371,10487,,
372,10488,,
373,10502,,
374,10511,,
375,10515,,
376,10516,,
377,10517,,
378,10519,,
379,10520,,
380,10617,,
381,10624,,
382,10639,,
383,10640,,
384,10641,,
385,10643,,
386,10701,,
387,10702,,
388,10844,,
389,10846,,
390,10847,,
391,10848,,
392,10852,,
393,10861,,
394,10888,,
395,10896,,
396,10897,,
397,10898,,
398,10899,,
399,10900,,
400,10908,,
401,10915,,
402,10935,,
403,10982,,
404,10983,,
405,10984,,
406,10985,,
407,10986,,
408,11101,,
409,11129,,
410,11130,,
411,11131,,
412,11133,,
413,11134,,
414,11135,,
415,11136,,
416,11182,,
417,11183,,
418,11184,,
419,11224,,
420,11225,,
421,11227,,
422,11228,,
423,11241,,
424,11242,,
425,11257,,
426,11258,,
427,11284,,
428,11288,,
429,11289,,
430,11290,,
431,11291,,
432,11307,,
433,11308,,
434,11309,,
435,11315,,
436,11316,,
437,11317,,
438,11319,,
439,11320,,
440,11331,,
441,11332,,
442,11340,,
443,11354,,
444,11355,,
445,11356,,
446,11379,,
447,11380,,
448,11384,,
449,11385,,
450,11386,,
451,11387,,
452,11392,,
453,11394,,
454,11395,,
455,11396,,
456,11406,,
457,11408,,
458,11410,,
459,11417,,
460,11418,,
461,11419,,
462,11420,,
463,11421,,
464,11422,,
465,11423,,
466,11439,,
467,11440,,
468,11441,,
469,11466,,
470,11468,,
471,11469,,
472,11470,,
473,11531,,
474,11779,,
475,11781,,
476,11782,,
477,11790,,
478,11791,,
479,11792,,
480,11793,,
481,11794,,
482,11795,,
483,11796,,
484,12062,,
485,12063,,
486,9392,,
487,9393,,
488,9398,,
489,9399,,
490,9470,,
491,9471,,
492,9472,,
493,9489,,
494,9490,,
495,9491,,
496,9498,,
497,9533,,
498,9535,,
499,9539,,
500,9540,,
501,9541,,
502,9661,,
503,9669,,
504,9670,,
505,9671,,
506,9674,,
507,9676,,
508,9677,,
509,9678,,
510,9685,,
511,9697,,
512,9698,,
513,9699,,
514,9704,,
515,9705,,
516,9708,,
517,9709,,
518,9710,,
519,9711,,
520,9712,,
521,9713,,
522,9714,,
523,9715,,
524,9716,,
525,9717,,
526,9718,,
